size	x	y	showSelected1
11.0710678118655	0.519095949130133	6	6
4	0.656992290401831	9	6
11.0710678118655	0.705064784036949	10	6
4	0.45774177624844	11	6
4	0.719112251652405	12	6
4	0.255428824340925	14	6
4	0.462292822543532	15	6
4	0.978226428385824	17	6
4	0.560332746244967	20	6
4	0.914806043496355	1	7
9	0.286139534786344	3	7
4	0.830447626067326	4	7
9	0.641745518893004	5	7
4	0.656992290401831	9	7
9	0.45774177624844	11	7
9	0.934672247152776	13	7
9	0.255428824340925	14	7
12.6602540378444	0.978226428385824	17	7
11.0710678118655	0.560332746244967	20	7
11.0710678118655	0.914806043496355	1	8
4	0.937075413297862	2	8
4	0.286139534786344	3	8
9	0.641745518893004	5	8
4	0.519095949130133	6	8
4	0.736588314641267	7	8
4	0.134666597237811	8	8
4	0.705064784036949	10	8
4	0.719112251652405	12	8
4	0.934672247152776	13	8
4	0.462292822543532	15	8
9	0.940014522755519	16	8
9	0.978226428385824	17	8
4	0.474997081561014	19	8
4	0.560332746244967	20	8
9	0.914806043496355	1	9
4	0.937075413297862	2	9
4	0.286139534786344	3	9
4	0.641745518893004	5	9
9	0.519095949130133	6	9
11.0710678118655	0.656992290401831	9	9
9	0.45774177624844	11	9
4	0.934672247152776	13	9
11.0710678118655	0.462292822543532	15	9
4	0.940014522755519	16	9
4	0.117487361654639	18	9
9	0.560332746244967	20	9
4	0.937075413297862	2	10
4	0.830447626067326	4	10
4	0.641745518893004	5	10
4	0.519095949130133	6	10
4	0.736588314641267	7	10
9	0.656992290401831	9	10
9	0.705064784036949	10	10
9	0.45774177624844	11	10
4	0.255428824340925	14	10
4	0.462292822543532	15	10
4	0.940014522755519	16	10
9	0.978226428385824	17	10
9	0.117487361654639	18	10
9	0.560332746244967	20	10
4	0.937075413297862	2	11
4	0.830447626067326	4	11
4	0.641745518893004	5	11
4	0.519095949130133	6	11
4	0.736588314641267	7	11
9	0.656992290401831	9	11
11.0710678118655	0.705064784036949	10	11
4	0.45774177624844	11	11
9	0.719112251652405	12	11
4	0.255428824340925	14	11
4	0.462292822543532	15	11
4	0.978226428385824	17	11
4	0.117487361654639	18	11
11.0710678118655	0.474997081561014	19	11
9	0.914806043496355	1	12
4	0.937075413297862	2	12
4	0.286139534786344	3	12
9	0.830447626067326	4	12
4	0.641745518893004	5	12
9	0.519095949130133	6	12
4	0.736588314641267	7	12
4	0.45774177624844	11	12
9	0.719112251652405	12	12
4	0.934672247152776	13	12
9	0.255428824340925	14	12
4	0.940014522755519	16	12
4	0.117487361654639	18	12
9	0.560332746244967	20	12
4	0.914806043496355	1	13
4	0.937075413297862	2	13
9	0.286139534786344	3	13
9	0.736588314641267	7	13
9	0.656992290401831	9	13
9	0.705064784036949	10	13
4	0.45774177624844	11	13
4	0.719112251652405	12	13
4	0.934672247152776	13	13
4	0.255428824340925	14	13
9	0.462292822543532	15	13
4	0.117487361654639	18	13
9	0.474997081561014	19	13
4	0.560332746244967	20	13
4	0.914806043496355	1	14
9	0.937075413297862	2	14
4	0.830447626067326	4	14
4	0.641745518893004	5	14
4	0.736588314641267	7	14
11.0710678118655	0.705064784036949	10	14
4	0.934672247152776	13	14
4	0.255428824340925	14	14
4	0.940014522755519	16	14
9	0.978226428385824	17	14
9	0.117487361654639	18	14
11.0710678118655	0.474997081561014	19	14
4	0.560332746244967	20	14
4	0.914806043496355	1	15
4	0.937075413297862	2	15
4	0.641745518893004	5	15
11.0710678118655	0.519095949130133	6	15
4	0.736588314641267	7	15
4	0.656992290401831	9	15
9	0.705064784036949	10	15
4	0.45774177624844	11	15
9	0.719112251652405	12	15
9	0.255428824340925	14	15
4	0.462292822543532	15	15
11.0710678118655	0.474997081561014	19	15
4	0.560332746244967	20	15
4	0.914806043496355	1	16
4	0.937075413297862	2	16
9	0.286139534786344	3	16
9	0.830447626067326	4	16
4	0.641745518893004	5	16
4	0.519095949130133	6	16
9	0.656992290401831	9	16
9	0.705064784036949	10	16
4	0.45774177624844	11	16
4	0.719112251652405	12	16
9	0.255428824340925	14	16
4	0.978226428385824	17	16
4	0.117487361654639	18	16
9	0.560332746244967	20	16
4	0.914806043496355	1	17
4	0.937075413297862	2	17
4	0.830447626067326	4	17
4	0.641745518893004	5	17
4	0.519095949130133	6	17
9	0.134666597237811	8	17
4	0.656992290401831	9	17
9	0.705064784036949	10	17
4	0.45774177624844	11	17
4	0.719112251652405	12	17
11.0710678118655	0.255428824340925	14	17
4	0.462292822543532	15	17
9	0.940014522755519	16	17
4	0.978226428385824	17	17
4	0.560332746244967	20	17
4	0.914806043496355	1	18
4	0.830447626067326	4	18
11.0710678118655	0.519095949130133	6	18
4	0.134666597237811	8	18
11.0710678118655	0.705064784036949	10	18
4	0.45774177624844	11	18
4	0.719112251652405	12	18
11.0710678118655	0.934672247152776	13	18
9	0.462292822543532	15	18
4	0.940014522755519	16	18
4	0.978226428385824	17	18
4	0.474997081561014	19	18
4	0.560332746244967	20	18
4	0.937075413297862	2	19
11.0710678118655	0.286139534786344	3	19
11.0710678118655	0.736588314641267	7	19
12.6602540378444	0.705064784036949	10	19
4	0.45774177624844	11	19
9	0.934672247152776	13	19
4	0.255428824340925	14	19
4	0.940014522755519	16	19
11.0710678118655	0.474997081561014	19	19
4	0.560332746244967	20	19
9	0.914806043496355	1	20
4	0.937075413297862	2	20
4	0.286139534786344	3	20
9	0.519095949130133	6	20
4	0.134666597237811	8	20
4	0.656992290401831	9	20
4	0.705064784036949	10	20
11.0710678118655	0.45774177624844	11	20
4	0.719112251652405	12	20
12.6602540378444	0.934672247152776	13	20
4	0.255428824340925	14	20
4	0.462292822543532	15	20
4	0.117487361654639	18	20
4	0.914806043496355	1	21
4	0.830447626067326	4	21
4	0.641745518893004	5	21
9	0.519095949130133	6	21
4	0.736588314641267	7	21
9	0.134666597237811	8	21
4	0.656992290401831	9	21
9	0.705064784036949	10	21
9	0.45774177624844	11	21
11.0710678118655	0.934672247152776	13	21
4	0.462292822543532	15	21
9	0.940014522755519	16	21
4	0.474997081561014	19	21
11.0710678118655	0.286139534786344	3	22
4	0.641745518893004	5	22
11.0710678118655	0.736588314641267	7	22
9	0.134666597237811	8	22
4	0.656992290401831	9	22
4	0.45774177624844	11	22
9	0.934672247152776	13	22
9	0.940014522755519	16	22
4	0.978226428385824	17	22
9	0.117487361654639	18	22
9	0.560332746244967	20	22
4	0.914806043496355	1	23
4	0.937075413297862	2	23
4	0.286139534786344	3	23
4	0.641745518893004	5	23
4	0.736588314641267	7	23
9	0.134666597237811	8	23
9	0.705064784036949	10	23
9	0.45774177624844	11	23
4	0.719112251652405	12	23
9	0.934672247152776	13	23
4	0.462292822543532	15	23
9	0.940014522755519	16	23
4	0.117487361654639	18	23
4	0.474997081561014	19	23
4	0.560332746244967	20	23
4	0.914806043496355	1	24
9	0.937075413297862	2	24
4	0.286139534786344	3	24
9	0.641745518893004	5	24
4	0.736588314641267	7	24
4	0.134666597237811	8	24
4	0.719112251652405	12	24
4	0.934672247152776	13	24
11.0710678118655	0.255428824340925	14	24
4	0.462292822543532	15	24
9	0.978226428385824	17	24
9	0.117487361654639	18	24
9	0.560332746244967	20	24
4	0.914806043496355	1	25
9	0.937075413297862	2	25
4	0.286139534786344	3	25
4	0.641745518893004	5	25
9	0.134666597237811	8	25
4	0.705064784036949	10	25
4	0.45774177624844	11	25
4	0.719112251652405	12	25
4	0.462292822543532	15	25
12.6602540378444	0.117487361654639	18	25
11.0710678118655	0.474997081561014	19	25
9	0.560332746244967	20	25
9	0.937075413297862	2	26
4	0.830447626067326	4	26
9	0.736588314641267	7	26
4	0.134666597237811	8	26
4	0.656992290401831	9	26
4	0.705064784036949	10	26
9	0.45774177624844	11	26
9	0.719112251652405	12	26
4	0.462292822543532	15	26
9	0.978226428385824	17	26
4	0.117487361654639	18	26
9	0.474997081561014	19	26
9	0.560332746244967	20	26
11.0710678118655	0.914806043496355	1	27
9	0.937075413297862	2	27
4	0.286139534786344	3	27
11.0710678118655	0.830447626067326	4	27
4	0.134666597237811	8	27
4	0.656992290401831	9	27
4	0.705064784036949	10	27
4	0.45774177624844	11	27
9	0.934672247152776	13	27
9	0.255428824340925	14	27
9	0.978226428385824	17	27
4	0.474997081561014	19	27
9	0.937075413297862	2	28
9	0.286139534786344	3	28
4	0.641745518893004	5	28
4	0.519095949130133	6	28
9	0.134666597237811	8	28
9	0.656992290401831	9	28
4	0.45774177624844	11	28
4	0.719112251652405	12	28
4	0.462292822543532	15	28
4	0.940014522755519	16	28
4	0.978226428385824	17	28
4	0.117487361654639	18	28
9	0.474997081561014	19	28
9	0.560332746244967	20	28
11.0710678118655	0.914806043496355	1	29
4	0.830447626067326	4	29
9	0.519095949130133	6	29
11.0710678118655	0.656992290401831	9	29
12.6602540378444	0.45774177624844	11	29
4	0.719112251652405	12	29
4	0.255428824340925	14	29
4	0.462292822543532	15	29
4	0.978226428385824	17	29
4	0.117487361654639	18	29
4	0.474997081561014	19	29
4	0.560332746244967	20	29
9	0.914806043496355	1	30
4	0.937075413297862	2	30
4	0.286139534786344	3	30
4	0.830447626067326	4	30
9	0.641745518893004	5	30
4	0.519095949130133	6	30
9	0.736588314641267	7	30
4	0.134666597237811	8	30
4	0.705064784036949	10	30
4	0.45774177624844	11	30
9	0.255428824340925	14	30
4	0.462292822543532	15	30
9	0.978226428385824	17	30
9	0.117487361654639	18	30
4	0.914806043496355	1	31
4	0.937075413297862	2	31
9	0.286139534786344	3	31
4	0.641745518893004	5	31
9	0.519095949130133	6	31
4	0.736588314641267	7	31
9	0.656992290401831	9	31
9	0.705064784036949	10	31
4	0.719112251652405	12	31
4	0.934672247152776	13	31
4	0.940014522755519	16	31
9	0.978226428385824	17	31
4	0.117487361654639	18	31
4	0.474997081561014	19	31
4	0.560332746244967	20	31
4	0.937075413297862	2	32
4	0.286139534786344	3	32
4	0.830447626067326	4	32
4	0.641745518893004	5	32
4	0.519095949130133	6	32
4	0.736588314641267	7	32
4	0.134666597237811	8	32
9	0.656992290401831	9	32
4	0.705064784036949	10	32
4	0.719112251652405	12	32
9	0.255428824340925	14	32
4	0.462292822543532	15	32
4	0.940014522755519	16	32
11.0710678118655	0.978226428385824	17	32
9	0.560332746244967	20	32
4	0.914806043496355	1	33
12.6602540378444	0.286139534786344	3	33
9	0.830447626067326	4	33
4	0.641745518893004	5	33
9	0.736588314641267	7	33
4	0.134666597237811	8	33
9	0.656992290401831	9	33
12.6602540378444	0.719112251652405	12	33
4	0.934672247152776	13	33
4	0.255428824340925	14	33
4	0.462292822543532	15	33
4	0.914806043496355	1	34
4	0.937075413297862	2	34
9	0.286139534786344	3	34
4	0.830447626067326	4	34
9	0.641745518893004	5	34
4	0.736588314641267	7	34
4	0.656992290401831	9	34
9	0.705064784036949	10	34
4	0.934672247152776	13	34
4	0.255428824340925	14	34
9	0.462292822543532	15	34
4	0.978226428385824	17	34
9	0.117487361654639	18	34
4	0.474997081561014	19	34
4	0.560332746244967	20	34
4	0.914806043496355	1	35
4	0.286139534786344	3	35
4	0.830447626067326	4	35
9	0.641745518893004	5	35
4	0.519095949130133	6	35
9	0.736588314641267	7	35
4	0.134666597237811	8	35
4	0.656992290401831	9	35
9	0.705064784036949	10	35
4	0.45774177624844	11	35
4	0.719112251652405	12	35
4	0.940014522755519	16	35
4	0.978226428385824	17	35
4	0.474997081561014	19	35
11.0710678118655	0.560332746244967	20	35
11.0710678118655	0.914806043496355	1	36
4	0.937075413297862	2	36
4	0.286139534786344	3	36
4	0.641745518893004	5	36
4	0.519095949130133	6	36
4	0.736588314641267	7	36
9	0.705064784036949	10	36
4	0.45774177624844	11	36
4	0.934672247152776	13	36
4	0.255428824340925	14	36
9	0.940014522755519	16	36
4	0.978226428385824	17	36
9	0.117487361654639	18	36
9	0.474997081561014	19	36
4	0.914806043496355	1	37
9	0.937075413297862	2	37
12.6602540378444	0.286139534786344	3	37
4	0.641745518893004	5	37
4	0.519095949130133	6	37
9	0.134666597237811	8	37
9	0.656992290401831	9	37
4	0.705064784036949	10	37
4	0.45774177624844	11	37
4	0.255428824340925	14	37
4	0.462292822543532	15	37
4	0.940014522755519	16	37
9	0.978226428385824	17	37
11.0710678118655	0.937075413297862	2	38
4	0.286139534786344	3	38
4	0.830447626067326	4	38
4	0.641745518893004	5	38
9	0.519095949130133	6	38
4	0.736588314641267	7	38
4	0.134666597237811	8	38
4	0.656992290401831	9	38
4	0.45774177624844	11	38
4	0.719112251652405	12	38
4	0.940014522755519	16	38
9	0.978226428385824	17	38
9	0.117487361654639	18	38
9	0.560332746244967	20	38
9	0.914806043496355	1	39
4	0.937075413297862	2	39
4	0.641745518893004	5	39
4	0.519095949130133	6	39
9	0.736588314641267	7	39
9	0.134666597237811	8	39
9	0.705064784036949	10	39
4	0.45774177624844	11	39
4	0.719112251652405	12	39
4	0.934672247152776	13	39
4	0.940014522755519	16	39
4	0.117487361654639	18	39
11.0710678118655	0.474997081561014	19	39
4	0.560332746244967	20	39
4	0.914806043496355	1	40
4	0.937075413297862	2	40
4	0.286139534786344	3	40
4	0.830447626067326	4	40
4	0.641745518893004	5	40
9	0.519095949130133	6	40
4	0.705064784036949	10	40
4	0.45774177624844	11	40
4	0.719112251652405	12	40
4	0.934672247152776	13	40
9	0.255428824340925	14	40
4	0.978226428385824	17	40
9	0.117487361654639	18	40
9	0.474997081561014	19	40
9	0.560332746244967	20	40
4	0.914806043496355	1	41
4	0.519095949130133	6	41
9	0.736588314641267	7	41
9	0.134666597237811	8	41
4	0.656992290401831	9	41
11.0710678118655	0.705064784036949	10	41
4	0.45774177624844	11	41
4	0.719112251652405	12	41
4	0.255428824340925	14	41
4	0.462292822543532	15	41
9	0.940014522755519	16	41
4	0.978226428385824	17	41
9	0.474997081561014	19	41
4	0.560332746244967	20	41
11.0710678118655	0.914806043496355	1	42
4	0.937075413297862	2	42
4	0.641745518893004	5	42
4	0.519095949130133	6	42
4	0.134666597237811	8	42
4	0.656992290401831	9	42
9	0.705064784036949	10	42
4	0.45774177624844	11	42
4	0.719112251652405	12	42
4	0.934672247152776	13	42
4	0.462292822543532	15	42
4	0.940014522755519	16	42
4	0.978226428385824	17	42
9	0.117487361654639	18	42
4	0.474997081561014	19	42
4	0.560332746244967	20	42
9	0.914806043496355	1	43
4	0.937075413297862	2	43
9	0.641745518893004	5	43
4	0.519095949130133	6	43
4	0.736588314641267	7	43
9	0.134666597237811	8	43
9	0.45774177624844	11	43
4	0.719112251652405	12	43
4	0.255428824340925	14	43
9	0.462292822543532	15	43
9	0.940014522755519	16	43
9	0.474997081561014	19	43
4	0.560332746244967	20	43
4	0.914806043496355	1	44
4	0.286139534786344	3	44
4	0.830447626067326	4	44
4	0.641745518893004	5	44
4	0.736588314641267	7	44
4	0.134666597237811	8	44
9	0.705064784036949	10	44
9	0.45774177624844	11	44
11.0710678118655	0.934672247152776	13	44
4	0.255428824340925	14	44
12.6602540378444	0.978226428385824	17	44
4	0.117487361654639	18	44
4	0.474997081561014	19	44
4	0.937075413297862	2	45
9	0.286139534786344	3	45
4	0.641745518893004	5	45
4	0.519095949130133	6	45
4	0.736588314641267	7	45
11.0710678118655	0.705064784036949	10	45
4	0.934672247152776	13	45
9	0.255428824340925	14	45
4	0.462292822543532	15	45
4	0.940014522755519	16	45
4	0.978226428385824	17	45
4	0.117487361654639	18	45
9	0.474997081561014	19	45
9	0.560332746244967	20	45
9	0.914806043496355	1	46
4	0.641745518893004	5	46
4	0.519095949130133	6	46
11.0710678118655	0.134666597237811	8	46
4	0.656992290401831	9	46
9	0.705064784036949	10	46
4	0.719112251652405	12	46
11.0710678118655	0.934672247152776	13	46
9	0.978226428385824	17	46
11.0710678118655	0.474997081561014	19	46
4	0.560332746244967	20	46
11.0710678118655	0.937075413297862	2	47
4	0.286139534786344	3	47
4	0.641745518893004	5	47
4	0.134666597237811	8	47
11.0710678118655	0.705064784036949	10	47
4	0.45774177624844	11	47
4	0.719112251652405	12	47
4	0.934672247152776	13	47
12.6602540378444	0.255428824340925	14	47
4	0.462292822543532	15	47
4	0.474997081561014	19	47
9	0.560332746244967	20	47
9	0.937075413297862	2	48
4	0.286139534786344	3	48
11.0710678118655	0.134666597237811	8	48
9	0.656992290401831	9	48
12.6602540378444	0.705064784036949	10	48
9	0.45774177624844	11	48
4	0.719112251652405	12	48
4	0.255428824340925	14	48
4	0.940014522755519	16	48
9	0.117487361654639	18	48
4	0.560332746244967	20	48
4	0.937075413297862	2	49
4	0.286139534786344	3	49
4	0.830447626067326	4	49
9	0.641745518893004	5	49
11.0710678118655	0.705064784036949	10	49
11.0710678118655	0.45774177624844	11	49
4	0.934672247152776	13	49
4	0.462292822543532	15	49
4	0.940014522755519	16	49
4	0.978226428385824	17	49
4	0.117487361654639	18	49
11.0710678118655	0.474997081561014	19	49
4	0.560332746244967	20	49
4	0.914806043496355	1	50
4	0.937075413297862	2	50
4	0.641745518893004	5	50
9	0.519095949130133	6	50
4	0.736588314641267	7	50
4	0.656992290401831	9	50
4	0.705064784036949	10	50
12.6602540378444	0.719112251652405	12	50
4	0.934672247152776	13	50
9	0.255428824340925	14	50
4	0.462292822543532	15	50
4	0.940014522755519	16	50
9	0.117487361654639	18	50
4	0.474997081561014	19	50
